PARENT_UI_ELEMENT,TARGET_UI_ELEMENT,COMPONENT_NAME,UI_EVENT_SOURCE,ConcatComponentEvent,Event,Event Label,Description,Rank
modal-content,cancelButton__button,,click,modal-content - cancelButton__button -  - click,Click,Cancel Button,User has cancelled an action (e.g. send an email with attachment),0
action-ribbon-container,action-link,EmailMessage._ReplyAll,click,action-ribbon-container - action-link - EmailMessage._ReplyAll - click,,,,0
publisher,mention-insert,,synthetic-click,publisher - mention-insert -  - synthetic-click,synthetic-click,,,0
kb-search-results-container,search-result-item,,synthetic-click,kb-search-results-container - search-result-item -  - synthetic-click,synthetic-click,,,0
pageBlockItem,emailLookupButton__button,,click,pageBlockItem - emailLookupButton__button -  - click,,,,0
forceContentModalPreviewPlayer,forceContentModalPreviewPlayer,,synthetic-content-exitFilePreviewFullScreenMode,forceContentModalPreviewPlayer - forceContentModalPreviewPlayer -  - synthetic-content-exitFilePreviewFullScreenMode,,,,0
forceContentModalPreviewPlayer,forceContentModalPreviewPlayer,,synthetic-content-enterFilePreviewFullScreenMode,forceContentModalPreviewPlayer - forceContentModalPreviewPlayer -  - synthetic-content-enterFilePreviewFullScreenMode,,,,0
tab-bar,tab-bar-content__tab,CallLogPost,click,tab-bar - tab-bar-content__tab - CallLogPost - click,,,,0
messageBodyInputRichTextEditor,insert-emoji,,synthetic-click,messageBodyInputRichTextEditor - insert-emoji -  - synthetic-click,synthetic-click,,,0
one-shortcutLibraryCommandHandler,LaunchQuickTextPanel,,synthetic-keyboard,one-shortcutLibraryCommandHandler - LaunchQuickTextPanel -  - synthetic-keyboard,,,,0
one-helpAndTrainingKeyboardShortcuts,one-helpAndTrainingKeyboardShortcuts-opened,,synthetic-keyboard,one-helpAndTrainingKeyboardShortcuts - one-helpAndTrainingKeyboardShortcuts-opened -  - synthetic-keyboard,,,,0
one-shortcutLibraryCommandHandler,ShowShortcutMenu,,synthetic-keyboard,one-shortcutLibraryCommandHandler - ShowShortcutMenu -  - synthetic-keyboard,,,,0
modal-content,modal-file-preview__button,,click,modal-content - modal-file-preview__button -  - click,,,,0
publisher,commentEdited,,synthetic-click,publisher - commentEdited -  - synthetic-click,synthetic-click,,,0
action-ribbon-container,action-link,EmailMessage._Forward,click,action-ribbon-container - action-link - EmailMessage._Forward - click,,,,0
onboarding-manager-prompt-success,onboarding-manager,,synthetic-onboarding-manager,onboarding-manager-prompt-success - onboarding-manager -  - synthetic-onboarding-manager,,,,0
ChatterFeed,comment,,synthetic-like-comment,ChatterFeed - comment -  - synthetic-like-comment,,,,0
app-switch-scope,app-switch-target,,app-switch,app-switch-scope - app-switch-target -  - app-switch,,,,0
modal,action__button,confirmationCancel,click,modal - action__button - confirmationCancel - click,,,,0
onboarding-manager-prompt-opened,onboarding-manager,,synthetic-onboarding-manager,onboarding-manager-prompt-opened - onboarding-manager -  - synthetic-onboarding-manager,,,,0
record-layout,inlineEditUndo__button,ContactId,click,record-layout - inlineEditUndo__button - ContactId - click,,,,0
actions-dropdown,action-dropdown-item__menu-item,0:AttachFileFromDevice,click,actions-dropdown - action-dropdown-item__menu-item - 0:AttachFileFromDevice - click,Click,Attach File - In List,Attach File from a List.,0
feedContainer,collapse_all__button,,click,feedContainer - collapse_all__button -  - click,,,,0
one-header,global-setup__menu-trigger-link,,click,one-header - global-setup__menu-trigger-link -  - click,,,,0
list-view,entity-link,,click,list-view - entity-link -  - click,,,,0
suggestedArticlesRefreshed,einsteinArticleSuggestionPolling,,synthetic-einsteinArticleSuggestion-poll,suggestedArticlesRefreshed - einsteinArticleSuggestionPolling -  - synthetic-einsteinArticleSuggestion-poll,,,,0
action,follow-entity-action__button,Follow,click,action - follow-entity-action__button - Follow - click,,,,0
modal-content,one-appError-toggle__button,,click,modal-content - one-appError-toggle__button -  - click,,,,0
panel-content,user-settings,,click,panel-content - user-settings -  - click,,,,0
record-layout,inlineEditUndo__button,OwnerId,click,record-layout - inlineEditUndo__button - OwnerId - click,,,,0
modal-file-preview,nextPage__button,,click,modal-file-preview - nextPage__button -  - click,,,,0
modal,action__button,DeleteComment,click,modal - action__button - DeleteComment - click,,,,0
actions-dropdown,action-dropdown-item__menu-item,1:DownloadFile,click,actions-dropdown - action-dropdown-item__menu-item - 1:DownloadFile - click,Click,Download File - In List,Download File from a List.,0
buttonBar,list-view-button-bar__button,quickFilter,click,buttonBar - list-view-button-bar__button - quickFilter - click,Click,Search Filter Option,A user has clicked on the Filter icon for quickly filtering search results,0
compactFeedItem,compact-feed-item-view-call,,click,compactFeedItem - compact-feed-item-view-call -  - click,,,,0
tab-bar-content,overflow-item__menu-item,emailmessageevent,click,tab-bar-content - overflow-item__menu-item - emailmessageevent - click,,,,0
modal,action__button,DeleteFile,click,modal - action__button - DeleteFile - click,,,,0
onboarding-manager-prompt-skipped,onboarding-manager,,synthetic-onboarding-manager,onboarding-manager-prompt-skipped - onboarding-manager -  - synthetic-onboarding-manager,,,,0
one-shortcutLibraryCommandHandler,GoToList,,synthetic-keyboard,one-shortcutLibraryCommandHandler - GoToList -  - synthetic-keyboard,,,,0
activity-timelinefixed,activityTimelineTask,,synthetic-click,activity-timelinefixed - activityTimelineTask -  - synthetic-click,synthetic-click,,,0
one-shortcutLibraryCommandHandler,GoToDockedComposer,,synthetic-keyboard,one-shortcutLibraryCommandHandler - GoToDockedComposer -  - synthetic-keyboard,,,,0
actions-dropdown,action-dropdown-item__menu-item,6:DeleteFile,click,actions-dropdown - action-dropdown-item__menu-item - 6:DeleteFile - click,Click,Delete File - In List,Delete File from a List.,0
global-setup,setup-app-nav-menu-item-link,,click,global-setup - setup-app-nav-menu-item-link -  - click,Click,Setup Menu Item,A user interacts with a Setup Menu node.,0
search-results-container,search-spell-correction-message,,synthetic-refresh,search-results-container - search-spell-correction-message -  - synthetic-refresh,,,,0
panel-content,user-profileLink,,click,panel-content - user-profileLink -  - click,,,,0
compactFeedItem,cuf-wrapperAnchor,,click,compactFeedItem - cuf-wrapperAnchor -  - click,,,,0
modal,modal-close__button,close-tabs-confirmation-modal,click,modal - modal-close__button - close-tabs-confirmation-modal - click,,,,0
searchInputDesktop,forceContentModalPreviewManager,,synthetic-content-openPreview,searchInputDesktop - forceContentModalPreviewManager -  - synthetic-content-openPreview,,,,0
record-layout,sectionHeaderButton__button,,click,record-layout - sectionHeaderButton__button -  - click,,,,0
dnd-edit-list-item,remove-button__button,,click,dnd-edit-list-item - remove-button__button -  - click,,,,0
action-ribbon-container,action-link,MassChangeOwner,click,action-ribbon-container - action-link - MassChangeOwner - click,,,,0
actions-dropdown,action-dropdown-item__menu-item,1:ChangeOwnerOne,click,actions-dropdown - action-dropdown-item__menu-item - 1:ChangeOwnerOne - click,Click,Change Owner - In List,Change Owner from a List.,0
search-input-desktop,search-advanced,,synthetic-click,search-input-desktop - search-advanced -  - synthetic-click,synthetic-click,,,0
modal,action__button,submit,click,modal - action__button - submit - click,,,,0
laf-pageHost,laf-pageHost,,synthetic-vf-title-override-sfa:analyticsHome,laf-pageHost - laf-pageHost -  - synthetic-vf-title-override-sfa:analyticsHome,,,,0
modal-file-preview,previousPage__button,,click,modal-file-preview - previousPage__button -  - click,,,,0
preview,actions-dropdown-trigger__menu-trigger-link,,click,preview - actions-dropdown-trigger__menu-trigger-link -  - click,,,,0
preview,link-file,,click,preview - link-file -  - click,,,,0
tab-bar,tab-bar-content__tab,messageTab,click,tab-bar - tab-bar-content__tab - messageTab - click,,,,0
listview-header,list-view-header,drill-in,click,listview-header - list-view-header - drill-in - click,,,,0
navigateToHierarchyButtonId,navigateToHierarchyButtonIcon__button,ContactHierarchy,click,navigateToHierarchyButtonId - navigateToHierarchyButtonIcon__button - ContactHierarchy - click,,,,0
one-header,global-action-button__menu-trigger-link,,click,one-header - global-action-button__menu-trigger-link -  - click,,,,0
global-help-and-training,force-headerbutton-link__button,,click,global-help-and-training - force-headerbutton-link__button -  - click,,,,0
panel-content,user-nameLink,,click,panel-content - user-nameLink -  - click,,,,0
tab-bar,tab-bar-content__tab,FeedItem.PollPost,click,tab-bar - tab-bar-content__tab - FeedItem.PollPost - click,,,,0
global-app-nav,tab-item,,click,global-app-nav - tab-item -  - click,,,,0
ChatterFeed-feeditem,showMoreContent,,synthetic-click,ChatterFeed-feeditem - showMoreContent -  - synthetic-click,synthetic-click,,,0
actions-dropdown,action-dropdown-item__menu-item,0:New,click,actions-dropdown - action-dropdown-item__menu-item - 0:New - click,Click,New - In List,New from a List.,0
record-layout,actionMenuTrigger__menu-trigger-link,,click,record-layout - actionMenuTrigger__menu-trigger-link -  - click,,,,0
tab-bar,tab-bar-content__tab,supervisorAgentsTab,click,tab-bar - tab-bar-content__tab - supervisorAgentsTab - click,,,,0
tab-bar,tab-bar-content__tab,supervisorQueuesTab,click,tab-bar - tab-bar-content__tab - supervisorQueuesTab - click,,,,0
global-app-nav,tab-item,Feed,click,global-app-nav - tab-item - Feed - click,,,,0
tab-bar,tab-bar-content__tab,collaborateTab,click,tab-bar - tab-bar-content__tab - collaborateTab - click,Click,Chatter Feed Tab,User has clicked the Chatter tab at the top of the record feed.,0
einsteinItemWrapper,PostToEdit__button,,click,einsteinItemWrapper - PostToEdit__button -  - click,,,,0
laf-pageHost,laf-pageHost,,synthetic-vf-title-override-forceChatter:desktopChatter,laf-pageHost - laf-pageHost -  - synthetic-vf-title-override-forceChatter:desktopChatter,,,,0
lst-quick-filter-panel,quick-filter-apply,,click,lst-quick-filter-panel - quick-filter-apply -  - click,,,,0
ltng-omni-widget-request,oltng-omniwidget-accept__button,,click,ltng-omni-widget-request - oltng-omniwidget-accept__button -  - click,,,,0
one-shortcutLibraryCommandHandler,Save,,synthetic-keyboard,one-shortcutLibraryCommandHandler - Save -  - synthetic-keyboard,,,,0
previewer-actions-bar,previewer-action__button,ShareFile,click,previewer-actions-bar - previewer-action__button - ShareFile - click,,,,0
search-input-desktop,search-advanced-pill-item,,synthetic-pill-add,search-input-desktop - search-advanced-pill-item -  - synthetic-pill-add,,,,0
tab-bar-content,overflow-item__menu-item,changestatuspost,click,tab-bar-content - overflow-item__menu-item - changestatuspost - click,,,,0
kb-search-results-container,search-zero-results,,synthetic-refresh,kb-search-results-container - search-zero-results -  - synthetic-refresh,,,,0
path-assistant,changeClosedStateButton__button,,click,path-assistant - changeClosedStateButton__button -  - click,Click,Path - Closing,"The user has clicked on a stage in the path ribbon that will close the record (Lead, Case, Opportunity, etc).",0
activityPanel,refreshTimeline,,click,activityPanel - refreshTimeline -  - click,,,,0
dnd-edit-list-item,edit-button__button,,click,dnd-edit-list-item - edit-button__button -  - click,,,,0
favorite-added,favorites-rename-from-toast-action,,synthetic-click,favorite-added - favorites-rename-from-toast-action -  - synthetic-click,synthetic-click,,,0
flexipage-component,relatedRecordClick-Create-Cancel__button,,click,flexipage-component - relatedRecordClick-Create-Cancel__button -  - click,,,,0
modal,action__button,cancel,click,modal - action__button - cancel - click,,,,0
one-shortcutLibraryCommandHandler,GoToSubtab,,synthetic-keyboard,one-shortcutLibraryCommandHandler - GoToSubtab -  - synthetic-keyboard,,,,0
action-modal,action-button__button,,click,action-modal - action-button__button -  - click,,,,0
hero-chart-header,refresh__button,,click,hero-chart-header - refresh__button -  - click,,,,0
modal-content,insert-button__button,,click,modal-content - insert-button__button -  - click,,,,0
lvPinButton,force-list-view-manager-pin-button,,click,lvPinButton - force-list-view-manager-pin-button -  - click,,,,0
record-layout,sortable-link,,click,record-layout - sortable-link -  - click,,,,0
search-results-grid,search-grid-column-header,,synthetic-sort,search-results-grid - search-grid-column-header -  - synthetic-sort,,,,0
modal-content,emailui-warning-modal-accept__button,,click,modal-content - emailui-warning-modal-accept__button -  - click,,,,0
panel-content,favorites-edit-panel-trigger,,click,panel-content - favorites-edit-panel-trigger -  - click,,,,0
flexipage-component,relatedRecordClick-Create-Save__button,,click,flexipage-component - relatedRecordClick-Create-Save__button -  - click,,,,0
tab-bar-content,overflow-item__menu-item,casecommentpost,click,tab-bar-content - overflow-item__menu-item - casecommentpost - click,,,,0
action-ribbon-container,action-link,Edit,click,action-ribbon-container - action-link - Edit - click,,,,0
actions-dropdown,action-dropdown-item__menu-item,0:DownloadFile,click,actions-dropdown - action-dropdown-item__menu-item - 0:DownloadFile - click,Click,Download File from In List,Download File from a List.,0
density-settings,density-switcher,,synthetic-click,density-settings - density-switcher -  - synthetic-click,synthetic-click,,,0
list-view,emailLink,,click,list-view - emailLink -  - click,,,,0
nav-item-dropdown,nav-dropdown-menu-trigger__menu-trigger-link,,click,nav-item-dropdown - nav-dropdown-menu-trigger__menu-trigger-link -  - click,,,,0
one-app,density-confirmation-dialog-ok-button__button,,click,one-app - density-confirmation-dialog-ok-button__button -  - click,,,,0
previewer-actions-bar,previewer-action__button,FileLinkShare,click,previewer-actions-bar - previewer-action__button - FileLinkShare - click,,,,0
record-layout,inlineEditUndo__button,Email,click,record-layout - inlineEditUndo__button - Email - click,,,,0
tab-bar,tab-bar-content__tab,activityTab,click,tab-bar - tab-bar-content__tab - activityTab - click,Click,Activity Tab,The user has clicked on the Activity tab at the top of a record feed.,0
tab-bar,tab-bar-content__tab,customTab2,click,tab-bar - tab-bar-content__tab - customTab2 - click,,,,0
action-ribbon-container,action-link,LinkToSetupUserDetailAction,click,action-ribbon-container - action-link - LinkToSetupUserDetailAction - click,,,,0
fileSearchPanel,searchText,,click,fileSearchPanel - searchText -  - click,,,,0
global-help-and-training,global-help-and-training-link,,synthetic-click,global-help-and-training - global-help-and-training-link -  - synthetic-click,synthetic-click,,,0
one-shortcutLibraryCommandHandler,GoToPublisher,,synthetic-keyboard,one-shortcutLibraryCommandHandler - GoToPublisher -  - synthetic-keyboard,,,,0
pageBlockItem,CcAddress__link,,click,pageBlockItem - CcAddress__link -  - click,,,,0
preview,action-dropdown-item__menu-item,DownloadFile,click,preview - action-dropdown-item__menu-item - DownloadFile - click,,,,0
record-layout,actionsMenuItem__menu-item,0,click,record-layout - actionsMenuItem__menu-item - 0 - click,,,,0
record-layout,inline-edit-trigger__button,Birthdate,click,record-layout - inline-edit-trigger__button - Birthdate - click,,,,0
search-results-grid-lvm,search-grid-column-header,,synthetic-sort,search-results-grid-lvm - search-grid-column-header -  - synthetic-sort,,,,0
action-ribbon-container,action-link,Delete,click,action-ribbon-container - action-link - Delete - click,,,,0
fileSearchPanel,clearIcon,,click,fileSearchPanel - clearIcon -  - click,,,,0
nav-menu-item,nav-dropdown-menu-item,recentRecord,click,nav-menu-item - nav-dropdown-menu-item - recentRecord - click,,,,0
panel-content,search-filter-panel-footer-cancel__button,,click,panel-content - search-filter-panel-footer-cancel__button -  - click,,,,0
runtime_sales_emailtemplateuiMergeableEntityTemplate,Case,,synthetic-click,runtime_sales_emailtemplateuiMergeableEntityTemplate - Case -  - synthetic-click,synthetic-click,,,0
tab-bar-content,overflow-item__menu-item,calllogpost,click,tab-bar-content - overflow-item__menu-item - calllogpost - click,,,,0
change-record-type-actions,next-action-button__button,,click,change-record-type-actions - next-action-button__button -  - click,,,,0
favorites-edit-panel,favorites-edit-item,,reorder,favorites-edit-panel - favorites-edit-item -  - reorder,,,,0
global-app-nav,tab-item,Home,click,global-app-nav - tab-item - Home - click,,,,0
panel-content,close-button-click__button,,click,panel-content - close-button-click__button -  - click,,,,0
record-layout,actionsMenuItem__menu-item,1,click,record-layout - actionsMenuItem__menu-item - 1 - click,,,,0
activityPanel,expandAll,,click,activityPanel - expandAll -  - click,Click,Expand Activity Feed,The user has clicked the 'Show / Expand All' link at the top of the activity feed of a record.,0
activityPanel,groupSection,,synthetic-click,activityPanel - groupSection -  - synthetic-click,synthetic-click,,,0
forceInlineExpandableContainer,forceInlineExpandableContainer,,inline-expandable-container-view-changed,forceInlineExpandableContainer - forceInlineExpandableContainer -  - inline-expandable-container-view-changed,,,,0
lightning-labs,lightning-labs,,lightning-labs-allowed,lightning-labs - lightning-labs -  - lightning-labs-allowed,,,,0
one-app,density-confirmation-dialog-cancel-button__button,,click,one-app - density-confirmation-dialog-cancel-button__button -  - click,,,,0
runtime_sales_emailtemplateuiMergeableEntityTemplate,Sender,,synthetic-click,runtime_sales_emailtemplateuiMergeableEntityTemplate - Sender -  - synthetic-click,synthetic-click,,,0
sfxdashboard,RefreshButton,,synthetic-RefreshButtonClick,sfxdashboard - RefreshButton -  - synthetic-RefreshButtonClick,,,,0
tab-bar,tab-bar-content__tab,versionHistoryTab,click,tab-bar - tab-bar-content__tab - versionHistoryTab - click,,,,0
upcomingActivities,groupSection,,synthetic-click,upcomingActivities - groupSection -  - synthetic-click,synthetic-click,,,0
MenuTriggerOnPillListViewer,toggleSectionIconOnBlockSection,,click,MenuTriggerOnPillListViewer - toggleSectionIconOnBlockSection -  - click,,,,0
actions-dropdown,action-dropdown-item__menu-item,1:PrintableListView,click,actions-dropdown - action-dropdown-item__menu-item - 1:PrintableListView - click,Click,Printable In List,Printablew View of a List.,0
app,switchToLightningDesktop,,click,app - switchToLightningDesktop -  - click,,,,0
einsteinItemWrapper,kbResultStencilAttachDetachAction__button,,click,einsteinItemWrapper - kbResultStencilAttachDetachAction__button -  - click,,,,0
listViewPicker,dropdown-trigger,,click,listViewPicker - dropdown-trigger -  - click,,,,0
one-app-nav-container-edit-dlg,add-nav-items-button__button,,click,one-app-nav-container-edit-dlg - add-nav-items-button__button -  - click,,,,0
pageBlockItem,BccAddress__link,,click,pageBlockItem - BccAddress__link -  - click,,,,0
runtime_sales_emailtemplateuiMergeableEntityTemplate,Organization,,synthetic-click,runtime_sales_emailtemplateuiMergeableEntityTemplate - Organization -  - synthetic-click,synthetic-click,,,0
runtime_sales_emailtemplateuiMergeableEntityTemplate,Recipient,,synthetic-click,runtime_sales_emailtemplateuiMergeableEntityTemplate - Recipient -  - synthetic-click,synthetic-click,,,0
search-results-header,search-results-view-more,,click,search-results-header - search-results-view-more -  - click,,,,0
searchSortMenuOnSuggestedArticleSidebar,articleSearchSortButton__menu-trigger-link,,click,searchSortMenuOnSuggestedArticleSidebar - articleSearchSortButton__menu-trigger-link -  - click,,,,0
tab-bar-content,overflow-item__menu-item,pastchatstab,click,tab-bar-content - overflow-item__menu-item - pastchatstab - click,,,,0
ChatterFeed-comment,feed-likers,,synthetic-click,ChatterFeed-comment - feed-likers -  - synthetic-click,synthetic-click,,,0
ChatterFeed-feedAnchor,feed-anchor-submenu-switchFeed,,synthetic-click,ChatterFeed-feedAnchor - feed-anchor-submenu-switchFeed -  - synthetic-click,synthetic-click,,,0
action-modal,change-record-type-actions__radio,,change,action-modal - change-record-type-actions__radio -  - change,,,,0
action-modal,change-record-type-actions__radio,,click,action-modal - change-record-type-actions__radio -  - click,,,,0
action-modal,createLink__button,,click,action-modal - createLink__button -  - click,,,,0
action-modal,panelFooterButton__button,,click,action-modal - panelFooterButton__button -  - click,,,,0
actions-dropdown,action-dropdown-item__menu-item,3:GetFileDetail,click,actions-dropdown - action-dropdown-item__menu-item - 3:GetFileDetail - click,Click,Get File Detail - In List,Get File Detail from a List.,0
actions-dropdown,action-dropdown-item__menu-item,7:DetachFile,click,actions-dropdown - action-dropdown-item__menu-item - 7:DetachFile - click,Click,Detach File - In List,Detach a File from a List.,0
activityPanel,entityFilterMenu__button,,click,activityPanel - entityFilterMenu__button -  - click,,,,0
app,switchToAloha,,click,app - switchToAloha -  - click,,,,0
change-record-type-actions,cancel-action-button__button,,click,change-record-type-actions - cancel-action-button__button -  - click,,,,0
console-tab-item,console-tab-item-customization,,customize,console-tab-item - console-tab-item-customization -  - customize,,,,0
detail-panel-mobile,component,,synthetic-detail-panel-fields,detail-panel-mobile - component -  - synthetic-detail-panel-fields,,,,0
flexipage-component,previewPanel,,click,flexipage-component - previewPanel -  - click,,,,0
forceContentPreviewPanel,forceContentModalPreviewManager,,synthetic-content-openPreview,forceContentPreviewPanel - forceContentModalPreviewManager -  - synthetic-content-openPreview,,,,0
global-app-nav,tab-item,Report,click,global-app-nav - tab-item - Report - click,,,,0
menu-item,menu-item,additionalMenuOption_0,click,menu-item - menu-item - additionalMenuOption_0 - click,,,,0
milestoneItemLink,entity-link,,click,milestoneItemLink - entity-link -  - click,,,,0
one-app-nav-add-items-dlg,one-app-nav-add-items-dlg-item-added,,synthetic-click,one-app-nav-add-items-dlg - one-app-nav-add-items-dlg-item-added -  - synthetic-click,synthetic-click,,,0
one-header,global-action-item__menu-item,NewTask,click,one-header - global-action-item__menu-item - NewTask - click,Click,New Task - Global,The user has opened the New Task window from the Global Actions bar.,0
one-shortcutLibraryCommandHandler,GoToWorkspaceTab,,synthetic-keyboard,one-shortcutLibraryCommandHandler - GoToWorkspaceTab -  - synthetic-keyboard,,,,0
panel-content,user-switch-to-aloha__link,,click,panel-content - user-switch-to-aloha__link -  - click,,,,0
preview,action-dropdown-item__menu-item,GetFileDetail,click,preview - action-dropdown-item__menu-item - GetFileDetail - click,,,,0
record-layout,kbResultStencilAttachDetachAction__button,,click,record-layout - kbResultStencilAttachDetachAction__button -  - click,,,,0
record-layout,inline-edit-trigger__button,Description,click,record-layout - inline-edit-trigger__button - Description - click,,,,0
record-layout,inline-edit-trigger__button,Status,click,record-layout - inline-edit-trigger__button - Status - click,,,,0
search-scopes-container,search-scope-item,,synthetic-click,search-scopes-container - search-scope-item -  - synthetic-click,synthetic-click,,,0
tab-bar,tab-bar-content__tab,relatedListTab,click,tab-bar - tab-bar-content__tab - relatedListTab - click,,,,0
tab-bar-content,overflow-item__menu-item,case.case_split,click,tab-bar-content - overflow-item__menu-item - case.case_split - click,,,,0
tab-bar-content,overflow-item__menu-item,chattab,click,tab-bar-content - overflow-item__menu-item - chattab - click,,,,0
ChatterFeed-feeditem,drill-in,,synthetic-click,ChatterFeed-feeditem - drill-in -  - synthetic-click,synthetic-click,,,0
action-ribbon-container,action-link,EditUserAction,click,action-ribbon-container - action-link - EditUserAction - click,,,,0
action-ribbon-container,action-link,LightningReportCreateAction,click,action-ribbon-container - action-link - LightningReportCreateAction - click,,,,0
actions-composer-tab,publisher-collapsed-quick-action__button,NewTask,click,actions-composer-tab - publisher-collapsed-quick-action__button - NewTask - click,Click,New Task - Activity Tab,User opens the New Task from the action publisher.,0
actions-composer-tab,publisher-collapsed-quick-action,NewTask,synthetic-click,actions-composer-tab - publisher-collapsed-quick-action - NewTask - synthetic-click,synthetic-click,New Task - Activity Tab,User opens the New Task from the action publisher.,0
actions-dropdown,action-dropdown-item__menu-item,0:Task.EditDescription,click,actions-dropdown - action-dropdown-item__menu-item - 0:Task.EditDescription - click,Click,Edit Task Description - In List,Edit a Task's Description from a List.,0
actions-dropdown,action-dropdown-item__menu-item,2:ChangeOwnerOne,click,actions-dropdown - action-dropdown-item__menu-item - 2:ChangeOwnerOne - click,Click,Change Owner - In List,Change Owner from a List.,0
actions-dropdown,action-dropdown-item__menu-item,5:EditFileDetails,click,actions-dropdown - action-dropdown-item__menu-item - 5:EditFileDetails - click,Click,Edit File Details,Edit File Details from a List.,0
activityPanel,ignoreFiltersButton__button,,click,activityPanel - ignoreFiltersButton__button -  - click,,,,0
compactFeedItem,compact-feed-item-view-aricle,,click,compactFeedItem - compact-feed-item-view-aricle -  - click,,,,0
detail-panel-progressive,component,,synthetic-LOM-detail-panel-view-more,detail-panel-progressive - component -  - synthetic-LOM-detail-panel-view-more,,,,0
export-dialog-footer,export-report__button,,click,export-dialog-footer - export-report__button -  - click,,,,0
featureDiscovery-SimpleRecordUser-content-scrolled,featureDiscovery-SimpleRecordUser-content,,synthetic-click,featureDiscovery-SimpleRecordUser-content-scrolled - featureDiscovery-SimpleRecordUser-content -  - synthetic-click,synthetic-click,,,0
filePickerMobileHeader,panelFooterButton__button,,click,filePickerMobileHeader - panelFooterButton__button -  - click,,,,0
global-app-launcher,app-launcher-link,Case,click,global-app-launcher - app-launcher-link - Case - click,,,,0
global-app-nav,tab-item,Commercial_Link__c,click,global-app-nav - tab-item - Commercial_Link__c - click,,,,0
global-app-nav,tab-item,SurveyTaker__c,click,global-app-nav - tab-item - SurveyTaker__c - click,,,,0
global-help-and-training,global-help-and-training-menu-item,,synthetic-click,global-help-and-training - global-help-and-training-menu-item -  - synthetic-click,synthetic-click,,,0
global-help-and-training,content-search,,synthetic-help-tray-send-search-request,global-help-and-training - content-search -  - synthetic-help-tray-send-search-request,,,,0
global-help-and-training,content-search,,synthetic-help-tray-start-search-session,global-help-and-training - content-search -  - synthetic-help-tray-start-search-session,,,,0
groupAnalytics,link,,synthetic-unifiedevent,groupAnalytics - link -  - synthetic-unifiedevent,,,,0
groupAnalytics-feedHistory,chart,,synthetic-groupanalyticsfeedhistory,groupAnalytics-feedHistory - chart -  - synthetic-groupanalyticsfeedhistory,,,,0
groupAnalytics-newMembers,chart,,synthetic-groupanalyticsnewmembers,groupAnalytics-newMembers - chart -  - synthetic-groupanalyticsnewmembers,,,,0
groupAnalytics-totals,chart,,synthetic-groupanalyticstotals,groupAnalytics-totals - chart -  - synthetic-groupanalyticstotals,,,,0
mobile-overlay,custom-action-layout__button,,click,mobile-overlay - custom-action-layout__button -  - click,,,,0
modal,action__button,DetachFile,click,modal - action__button - DetachFile - click,,,,0
modal,action__button,ReportDeleteAction,click,modal - action__button - ReportDeleteAction - click,,,,0
modal-content,showSearchBox,,click,modal-content - showSearchBox -  - click,,,,0
modal-content,whoCanAccess,,click,modal-content - whoCanAccess -  - click,,,,0
one-appNavMenu,global-nav-tab-added,,synthetic-click,one-appNavMenu - global-nav-tab-added -  - synthetic-click,synthetic-click,,,0
one-shortcutLibraryCommandHandler,GoToPrompt,,synthetic-keyboard,one-shortcutLibraryCommandHandler - GoToPrompt -  - synthetic-keyboard,,,,0
panel-content,search-filter-panel-footer-apply__button,,click,panel-content - search-filter-panel-footer-apply__button -  - click,,,,0
panel-content,user-add-account__link,,click,panel-content - user-add-account__link -  - click,,,,0
record-layout,expand-view__link,,click,record-layout - expand-view__link -  - click,,,,0
record-layout,map-link,,click,record-layout - map-link -  - click,,,,0
record-layout,inlineEditUndo__button,Name,click,record-layout - inlineEditUndo__button - Name - click,,,,0
search-results-container,search-results-feed,,synthetic-refresh,search-results-container - search-results-feed -  - synthetic-refresh,,,,0
search-results-container,search-results-list,,synthetic-refresh,search-results-container - search-results-list -  - synthetic-refresh,,,,0
support-quickText-panel,selected,,synthetic-click,support-quickText-panel - selected -  - synthetic-click,synthetic-click,,,0
tab-bar,tab-bar-content__tab,analyticsTab,click,tab-bar - tab-bar-content__tab - analyticsTab - click,,,,0
tab-bar,tab-bar-content__tab,flexipage_tab2,click,tab-bar - tab-bar-content__tab - flexipage_tab2 - click,,,,0
tab-bar,tab-bar-content__tab,knowledgeTab,click,tab-bar - tab-bar-content__tab - knowledgeTab - click,,,,0
tab-bar-content,overflow-item__menu-item,detailtab,click,tab-bar-content - overflow-item__menu-item - detailtab - click,,,,0
uploadPanelFooter,startUploadButton__button,,click,uploadPanelFooter - startUploadButton__button -  - click,,,,0
forceAura,relatedListSingleContainer,,click,forceAura - relatedListSingleContainer -  - click,Click,Related List Load,A related list has loaded during a record page load. Ignore; very noisy.,0
actions-composer-tab,publisher-collapsed-quick-action__button,LogACall,click,actions-composer-tab - publisher-collapsed-quick-action__button - LogACall - click,Click,Log a Call - Activity Tab,User opens the Log a Call action input form after click on the Activity tab,0
action-ribbon-container,action-link,NewContact,click,action-ribbon-container - action-link - NewContact - click,Click,New Contact Button (Related List),User has created a new Contact from a related list header or similar.,0
publisher-quick-action,publisher-quick-action__button,LogACall,click,publisher-quick-action - publisher-quick-action__button - LogACall - click,Click,Log a Call - Save,User clicks Save in the Log a Call action input form,0
header,step-complete-button__button,,click,header - step-complete-button__button -  - click,Click,Path - Stage Change,The user has clicked 'Mark Stage as 'Complete' after changing the stage in the Path ribbon.,0
